tail_number,checkTypeCode,scheduleStart,airport,status,scheduleEnd
CSTNA,T1,04/09/2009 20:15,LIS,S,04/09/2009 21:05
CSTTI,VT,04/09/2009 20:15,LIS,S,04/09/2009 21:15
CSTQK,T1,04/09/2009 23:00,LIS,S,05/09/2009 00:30
CSTTO,T2,04/09/2009 23:00,LIS,S,05/09/2009 05:00
CSTKL,36,04/09/2009 23:30,FNC,S,05/09/2009 03:30
CSTNE,T1,04/09/2009 23:45,LIS,S,05/09/2009 01:00
CSTNQ,T1,04/09/2009 23:45,WAW,S,05/09/2009 01:15
CSTTA,T1,04/09/2009 23:45,ORY,S,05/09/2009 01:15
CSTTB,T1,04/09/2009 23:45,HAM,S,05/09/2009 01:15
CSTTC,T1,04/09/2009 23:45,GVA,S,05/09/2009 01:15
CSTTE,T1,04/09/2009 23:45,ZRH,S,05/09/2009 01:15
CSTTF,T1,04/09/2009 23:45,CPH,S,05/09/2009 01:15
CSTTH,T1,04/09/2009 23:45,CDG,S,05/09/2009 01:15
CSTTI,T1,04/09/2009 23:45,FAO,S,05/09/2009 01:15
CSTTN,T1,04/09/2009 23:45,BRU,S,05/09/2009 01:15
CSTTR,T1,04/09/2009 23:45,FNC,S,05/09/2009 01:15
CSTTS,T1,04/09/2009 23:45,LIS,S,05/09/2009 01:15
CSTMW,T1,04/09/2009 23:45,FNC,S,05/09/2009 01:15
CSTNB,T1,04/09/2009 23:45,MUC,S,05/09/2009 01:15
CSTNH,T1,04/09/2009 23:45,LIN,S,05/09/2009 01:15
CSTNI,T1,04/09/2009 23:45,LHR,S,05/09/2009 01:15
CSTNK,T1,04/09/2009 23:45,ORY,S,05/09/2009 01:15
CSTNN,T1,04/09/2009 23:45,LHR,S,05/09/2009 01:15
CSTNP,T1,04/09/2009 23:45,FRA,S,05/09/2009 01:15
CSTNR,T1,04/09/2009 23:45,AMS,S,05/09/2009 01:15
CSTJG,T1,04/09/2009 23:45,LIS,S,05/09/2009 01:15
CSTNL,T1,04/09/2009 23:45,OPO,S,05/09/2009 01:15
CSTNJ,T1,04/09/2009 23:45,FCO,S,05/09/2009 01:15
CSTTM,T1,04/09/2009 23:45,BCN,S,05/09/2009 01:15
CSTJE,T1,04/09/2009 23:45,LIS,S,05/09/2009 03:30
CSTNM,T1,04/09/2009 23:45,LIS,S,05/09/2009 05:00
CSTTG,T1,04/09/2009 23:45,LIS,S,05/09/2009 05:15
CSTTK,T1,04/09/2009 23:59,MAD,S,05/09/2009 01:30
CSTGV,36+ET,05/09/2009 00:00,LIS,S,05/09/2009 02:00
CSTTJ,T1,05/09/2009 00:30,LIS,S,05/09/2009 04:00
CSTTQ,T1,05/09/2009 01:30,FNC,S,05/09/2009 03:00
CSTTP,T1,05/09/2009 01:30,OPO,S,05/09/2009 03:30
CSTEJ,T1,05/09/2009 02:15,MED,S,05/09/2009 05:00
CSTTP,RIB_5,05/09/2009 04:00,OPO,S,05/09/2009 05:30
CSTOC,T1,05/09/2009 04:00,LIS,S,05/09/2009 06:00
FRAJA,T1,05/09/2009 04:00,CDG,S,05/09/2009 07:00
CSTOI,T1+ET,05/09/2009 05:15,LIS,S,05/09/2009 08:00
CSTOG,T1+ET,05/09/2009 05:40,LIS,S,05/09/2009 14:30
CSTOD,T1,05/09/2009 06:15,LIS,S,05/09/2009 07:30
CSTOO,T2,05/09/2009 06:15,LIS,S,05/09/2009 09:15
CSTOH,T1+ET,05/09/2009 06:30,LIS,S,05/09/2009 08:15
CSTOJ,T1+ET,05/09/2009 06:32,LIS,S,05/09/2009 07:40
CSTON,T2+ET,05/09/2009 06:40,LIS,S,05/09/2009 07:55
CSTOA,T1,05/09/2009 07:00,LIS,S,05/09/2009 08:15
CSTKI,T1+ET,05/09/2009 07:00,LIS,S,05/09/2009 09:30
CSTOM,T1+ET,05/09/2009 07:20,OPO,S,05/09/2009 09:10
CSTTE,VT,05/09/2009 07:25,LIS,S,05/09/2009 08:15
CSTOF,PURGAS,05/09/2009 07:45,LIS,S,05/09/2009 08:15
CSTOJ,PURGAS,05/09/2009 07:45,LIS,S,05/09/2009 08:30
CSTON,PURGAS,05/09/2009 08:00,LIS,S,05/09/2009 09:30
CSTOE,T1+ET,05/09/2009 08:15,OPO,S,05/09/2009 10:00
CSTOF,T1+ET,05/09/2009 08:30,LIS,S,05/09/2009 10:00
CSTGU,36,05/09/2009 10:45,LIS,S,05/09/2009 11:25
CSTOL,T1+ET,05/09/2009 10:45,LIS,S,05/09/2009 12:45
CSTOP,T1+ET,05/09/2009 11:55,LIS,S,05/09/2009 13:30
CSTOK,T1+ET,05/09/2009 12:00,LIS,S,05/09/2009 14:35
CSTOG,VT,05/09/2009 12:30,LIS,S,06/09/2009 15:00
CSTKM,36+ET,05/09/2009 12:45,LIS,S,05/09/2009 14:15
CSTOO,ETOPS,05/09/2009 13:00,LIS,S,05/09/2009 14:30
CSTNL,VT,05/09/2009 13:45,LIS,S,05/09/2009 14:30
CSTOD,PURGAS,05/09/2009 14:45,LIS,S,05/09/2009 16:45
CSTKN,36+ET,05/09/2009 15:10,PDL,S,05/09/2009 16:00
CSTOB,T1,05/09/2009 15:30,LIS,S,05/09/2009 16:45
CSTEJ,T1+ET,05/09/2009 15:50,LIS,S,05/09/2009 16:55
CSTNR,VT,05/09/2009 16:00,LIS,S,05/09/2009 17:30
CSTNN,VT,05/09/2009 16:15,LIS,S,05/09/2009 16:45
CSTMW,VT,05/09/2009 16:50,LIS,S,05/09/2009 17:40
CSTQD,T1,05/09/2009 17:55,LIS,S,05/09/2009 18:45
CSTTL,VT,05/09/2009 18:10,LIS,S,05/09/2009 18:45
CSTJE,T1,05/09/2009 20:05,LIS,S,05/09/2009 20:55
CSTNM,T1,05/09/2009 20:10,LIS,S,05/09/2009 21:15
CSTNQ,T1,05/09/2009 20:15,LIS,S,05/09/2009 21:05
CSTTO,VT,05/09/2009 20:40,LIS,S,05/09/2009 21:15
CSTNI,T1,05/09/2009 20:45,LIS,S,05/09/2009 21:15
CSTNP,T1,05/09/2009 21:10,LIS,S,05/09/2009 23:50
CSTNK,T1,05/09/2009 22:00,LIS,S,06/09/2009 03:00
CSTKL,36,05/09/2009 22:30,FNC,S,06/09/2009 03:30
CSTNE,T1,05/09/2009 23:00,LIN,S,06/09/2009 00:30
CSTTP,T2,05/09/2009 23:00,OPO,S,06/09/2009 02:00
CSTTS,T2,05/09/2009 23:00,LIS,S,06/09/2009 05:00
CSTTN,T1,05/09/2009 23:45,HAM,S,06/09/2009 01:15
CSTTA,T1,05/09/2009 23:45,GVA,S,06/09/2009 01:15
CSTTC,T1,05/09/2009 23:45,CDG,S,06/09/2009 01:15
CSTTD,T1,05/09/2009 23:45,LIS,S,06/09/2009 01:15
CSTTE,T1,05/09/2009 23:45,ZRH,S,06/09/2009 01:15
CSTTG,T1,05/09/2009 23:45,LIS,S,06/09/2009 01:15
CSTTH,T1,05/09/2009 23:45,BRU,S,06/09/2009 01:15
CSTTI,T1,05/09/2009 23:45,FNC,S,06/09/2009 01:15
CSTTK,T1,05/09/2009 23:45,LIS,S,06/09/2009 01:15
CSTTL,T1,05/09/2009 23:45,GVA,S,06/09/2009 01:15
CSTTM,T1,05/09/2009 23:45,MAD,S,06/09/2009 01:15
CSTTO,T1,05/09/2009 23:45,FAO,S,06/09/2009 01:15
CSTTR,T1,05/09/2009 23:45,FNC,S,06/09/2009 01:15
CSTTQ,T1,05/09/2009 23:45,CPH,S,06/09/2009 01:15
CSTNA,T1,05/09/2009 23:45,OPO,S,06/09/2009 01:15
CSTNB,T1,05/09/2009 23:45,LHR,S,06/09/2009 01:15
CSTNH,T1,05/09/2009 23:45,FCO,S,06/09/2009 01:15
CSTNN,T1,05/09/2009 23:45,WAW,S,06/09/2009 01:15
CSTNR,T1,05/09/2009 23:45,AMS,S,06/09/2009 01:15
CSTJG,T1,05/09/2009 23:45,FNC,S,06/09/2009 01:15
