Voo,Origem,Destino,Tipo_Aviao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
946,LIS,GVA,319,9/2/2009 7:50,9/2/2009 10:15,15,113,3,68
1573,OPO,FNC,319,9/2/2009 7:50,9/2/2009 9:50,0,132,0,122
500,LIS,ARN,320,9/2/2009 8:05,9/2/2009 12:25,14,143,4,54
712,LIS,MAD,319,9/2/2009 8:05,9/2/2009 9:20,15,113,9,100
746,LIS,BCN,319,9/2/2009 8:05,9/2/2009 9:55,15,113,9,110
530,LIS,PRG,319,9/2/2009 8:10,9/2/2009 11:30,15,113,0,95
1615,LIS,FNC,319,9/2/2009 8:15,9/2/2009 10:05,15,113,1,98
191,LIS,GRU,332,9/2/2009 8:25,9/2/2009 18:40,24,244,19,149
504,LIS,CPH,319,9/2/2009 8:25,9/2/2009 12:10,15,113,1,63
506,LIS,OSL,320,9/2/2009 8:25,9/2/2009 12:25,14,143,4,81
838,LIS,FCO,320,9/2/2009 8:25,9/2/2009 11:20,14,143,20,129
558,LIS,MUC,320,9/2/2009 8:30,9/2/2009 11:40,14,143,4,122
560,LIS,HAM,319,9/2/2009 8:30,9/2/2009 11:50,15,113,0,49
872,LIS,VCE,320,9/2/2009 8:30,9/2/2009 11:30,14,143,3,136
179,LIS,GIG,343,9/2/2009 8:35,9/2/2009 18:50,36,232,14,122
434,LIS,ORY,319,9/2/2009 8:35,9/2/2009 11:05,15,113,15,112
749,BCN,LIS,319,9/2/2009 8:40,9/2/2009 10:40,15,113,7,89
1907,LIS,FAO,320,9/2/2009 8:40,9/2/2009 9:20,14,143,1,88
139,LIS,CNF,332,9/2/2009 8:45,9/2/2009 18:25,24,239,5,167
938,OPO,GVA,320,9/2/2009 8:50,9/2/2009 11:10,14,143,1,98
173,LIS,BSB,332,9/2/2009 8:55,9/2/2009 18:35,24,244,4,169
451,ORY,OPO,319,9/2/2009 8:55,9/2/2009 11:00,15,113,0,47
352,LIS,LHR,321,9/2/2009 9:00,9/2/2009 11:50,14,178,9,172
608,LIS,BRU,320,9/2/2009 9:00,9/2/2009 11:45,14,143,6,112
916,OPO,ZRH,319,9/2/2009 9:00,9/2/2009 11:35,15,113,3,104
425,CDG,LIS,320,9/2/2009 9:40,9/2/2009 12:20,14,143,5,39
159,LIS,SSA,332,9/2/2009 9:45,9/2/2009 18:30,24,239,7,173
605,BRU,LIS,319,9/2/2009 9:45,9/2/2009 12:35,15,113,3,98
183,OPO,GIG,332,9/2/2009 9:50,9/2/2009 20:15,24,239,7,206
837,FCO,LIS,320,9/2/2009 9:55,9/2/2009 12:55,14,143,5,137
1614,FNC,LIS,319,9/2/2009 9:55,9/2/2009 11:30,15,113,9,112
1908,FAO,LIS,320,9/2/2009 10:00,9/2/2009 10:45,14,143,2,89
121,LIS,CCS,332,9/2/2009 10:10,9/2/2009 19:20,24,244,8,219
437,ORY,LIS,321,9/2/2009 10:10,9/2/2009 12:35,14,178,3,98
803,MXP,LIS,320,9/2/2009 10:20,9/2/2009 13:00,14,143,4,75
1860,PDL,LIS,320,9/2/2009 10:20,9/2/2009 12:30,0,162,7,143
665,AMS,LIS,320,9/2/2009 10:30,9/2/2009 13:35,14,143,5,92
1574,FNC,OPO,319,9/2/2009 10:30,9/2/2009 12:25,15,113,3,110
103,LIS,EWR,343,9/2/2009 10:35,9/2/2009 19:05,36,232,22,231
857,BLQ,LIS,319,9/2/2009 10:35,9/2/2009 13:35,15,113,0,63
745,BCN,LIS,319,9/2/2009 10:40,9/2/2009 12:40,15,113,9,95
1621,LIS,FNC,320,9/2/2009 10:40,9/2/2009 12:30,14,143,4,135
1822,TER,LIS,332,9/2/2009 10:40,9/2/2009 12:55,24,239,1,188
348,FNC,LGW,319,9/2/2009 10:45,9/2/2009 14:30,15,113,13,108
714,LIS,MAD,319,9/2/2009 10:50,9/2/2009 12:05,15,113,0,79
713,MAD,LIS,319,9/2/2009 11:00,9/2/2009 12:15,15,113,3,67
744,LIS,BCN,319,9/2/2009 11:25,9/2/2009 13:15,15,113,0,90
1963,OPO,LIS,319,9/2/2009 11:40,9/2/2009 12:35,15,113,6,112
342,LIS,LGW,320,9/2/2009 11:45,9/2/2009 14:30,14,143,6,132
435,ORY,LIS,319,9/2/2009 11:50,9/2/2009 14:15,15,113,1,31
839,FCO,LIS,320,9/2/2009 12:05,9/2/2009 15:05,14,143,1,106
438,LIS,ORY,319,9/2/2009 12:15,9/2/2009 14:40,15,113,15,113
873,VCE,LIS,320,9/2/2009 12:15,9/2/2009 15:25,14,143,0,112
1825,LIS,TER,320,9/2/2009 12:20,9/2/2009 15:00,14,143,0,62
609,BRU,LIS,320,9/2/2009 12:30,9/2/2009 15:20,14,143,0,75
715,MAD,LIS,319,9/2/2009 12:50,9/2/2009 14:05,15,113,6,56
1627,LIS,FNC,319,9/2/2009 13:00,9/2/2009 14:45,15,113,1,102
501,ARN,LIS,320,9/2/2009 13:10,9/2/2009 17:35,14,143,0,94
507,OSL,LIS,320,9/2/2009 13:10,9/2/2009 17:20,14,143,3,120
