Voo,Origem,Destino,Configuracao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
1626,FNC,LIS,128,9/3/2009 15:25,9/3/2009 17:00,15,113,9,113
468,OPO,ORY,128,9/3/2009 15:40,9/3/2009 17:50,15,113,13,111
1580,FNC,OPO,128,9/3/2009 15:50,9/3/2009 17:45,15,113,9,113
439,ORY,LIS,128,9/3/2009 15:55,9/3/2009 18:15,15,113,1,55
752,LIS,BCN,157,9/3/2009 16:05,9/3/2009 17:55,14,143,2,97
1912,FAO,LIS,157,9/3/2009 16:15,9/3/2009 17:00,14,143,0,115
720,LIS,MAD,128,9/3/2009 16:40,9/3/2009 17:55,15,113,4,45
428,LIS,CDG,128,9/3/2009 16:45,9/3/2009 19:20,15,113,4,111
1632,FNC,LIS,132,9/3/2009 16:45,9/3/2009 18:20,0,132,0,131
661,AMS,LIS,128,9/3/2009 17:00,9/3/2009 20:00,15,113,1,98
719,MAD,LIS,128,9/3/2009 17:00,9/3/2009 18:15,15,113,4,77
843,FCO,LIS,128,9/3/2009 17:00,9/3/2009 20:00,15,113,3,83
615,BRU,LIS,128,9/3/2009 17:30,9/3/2009 20:10,15,113,4,95
458,OPO,ORY,128,9/3/2009 18:30,9/3/2009 20:40,15,113,9,111
455,ORY,OPO,128,9/3/2009 18:35,9/3/2009 20:40,15,113,4,57
721,MAD,LIS,128,9/3/2009 18:40,9/3/2009 19:55,15,113,3,60
741,BCN,LIS,157,9/3/2009 18:40,9/3/2009 20:40,14,143,0,91
618,LIS,BRU,128,9/3/2009 18:45,9/3/2009 21:30,15,113,2,75
724,LIS,MAD,128,9/3/2009 19:05,9/3/2009 20:20,15,113,5,37
740,LIS,BCN,128,9/3/2009 19:05,9/3/2009 20:55,15,113,11,102
1684,FNC,LIS,132,9/3/2009 20:00,9/3/2009 21:35,0,132,0,123
1685,LIS,FNC,128,9/3/2009 20:45,9/3/2009 22:35,15,113,1,83
1982,LIS,OPO,128,9/3/2009 20:45,9/3/2009 21:40,15,113,1,53
1581,OPO,FNC,128,9/3/2009 21:25,9/3/2009 23:25,15,113,1,108
1917,LIS,FAO,128,9/3/2009 21:25,9/3/2009 22:10,15,113,0,54
611,BRU,LIS,128,9/4/2009 4:25,9/4/2009 7:10,15,113,1,86
751,BCN,LIS,128,9/4/2009 4:35,9/4/2009 6:35,15,113,0,78
429,CDG,LIS,128,9/4/2009 4:55,9/4/2009 7:25,15,113,0,43
459,ORY,OPO,128,9/4/2009 5:00,9/4/2009 7:05,15,113,1,37
1602,FNC,LIS,128,9/4/2009 5:00,9/4/2009 6:35,15,113,7,111
1948,LIS,OPO,128,9/4/2009 5:10,9/4/2009 6:05,15,113,0,1
1900,FAO,LIS,128,9/4/2009 5:15,9/4/2009 6:00,15,113,7,102
464,OPO,ORY,128,9/4/2009 6:05,9/4/2009 8:10,15,113,9,106
711,MAD,LIS,128,9/4/2009 6:05,9/4/2009 7:20,15,113,3,61
1572,FNC,OPO,128,9/4/2009 6:05,9/4/2009 8:00,15,113,1,109
604,LIS,BRU,128,9/4/2009 6:15,9/4/2009 9:00,15,113,1,71
1953,OPO,LIS,128,9/4/2009 6:45,9/4/2009 7:40,15,113,10,107
668,LIS,AMS,128,9/4/2009 6:55,9/4/2009 9:45,15,113,1,60
856,LIS,BLQ,128,9/4/2009 7:05,9/4/2009 9:50,15,113,2,103
1609,LIS,FNC,128,9/4/2009 7:25,9/4/2009 9:10,15,113,0,103
